new_main_category,tag,sentiment,term,score,review_count,word_count
Bodycare,Quality,negative,work,0.037730094,2994,50
Bodycare,Quality,negative,badly,0.037127757,2994,50
Bodycare,Quality,negative,little,0.036780017,2994,50
Bodycare,Quality,negative,greasy,0.0362165,2994,50
Bodycare,Quality,negative,burn,0.035050002,2994,50
Bodycare,Quality,negative,hard,0.032811456,2994,50
Bodycare,Quality,negative,works,0.03137494,2994,50
Bodycare,Quality,negative,leaves,0.030432252,2994,50
Bodycare,Quality,negative,tried,0.029155049,2994,50
Bodycare,Quality,negative,terrible,0.028884632,2994,50
Bodycare,Quality,negative,horrible,0.02872996,2994,50
Bodycare,Quality,negative,recommend,0.026269296,2994,50
Bodycare,Quality,negative,poor,0.026220159,2994,50
Bodycare,Quality,negative,worst,0.02570265,2994,50
Bodycare,Quality,negative,rub,0.025550032,2994,50
Bodycare,Quality,negative,look,0.025253188,2994,50
Bodycare,Quality,negative,return,0.025045755,2994,50
Bodycare,Quality,negative,protection,0.024545216,2994,50
Bodycare,Quality,negative,sensitive,0.024410532,2994,50
Bodycare,Quality,negative,sunburn,0.02436949,2994,50
Bodycare,Quality,negative,scent,0.023712239,2994,50
Bodycare,Quality,negative,awful,0.023552312,2994,50
Bodycare,Quality,negative,hours,0.023212911,2994,50
Bodycare,Quality,negative,spf,0.022389868,2994,50
Bodycare,Quality,negative,cast,0.022266337,2994,50
Bodycare,Quality,negative,reviews,0.021870659,2994,50
Bodycare,Quality,negative,away,0.021145183,2994,50
Bodycare,Quality,negative,rash,0.020707593,2994,50
Bodycare,Quality,negative,expensive,0.020644403,2994,50
Bodycare,Quality,negative,ingredients,0.02000966,2994,50
Bodycare,Quality,negative,sunscreens,0.019918263,2994,50
Bodycare,Quality,negative,times,0.019844446,2994,50
Bodycare,Quality,negative,kids,0.019816886,2994,50
Bodycare,Quality,negative,brand,0.019230031,2994,50
Bodycare,Quality,negative,applying,0.018530247,2994,50
Bodycare,Quality,negative,hate,0.018172616,2994,50
Bodycare,Quality,negative,spread,0.018059037,2994,50
Bodycare,Quality,negative,tube,0.01740429,2994,50
Bodycare,Quality,negative,burnt,0.017325125,2994,50
Bodycare,Quality,negative,few,0.016869487,2994,50
Bodycare,Quality,negative,wash,0.016473974,2994,50
Bodycare,Quality,negative,he,0.015606854,2994,50
Bodycare,Quality,negative,minutes,0.015446717,2994,50
Bodycare,Quality,negative,sunblock,0.01536,2994,50
Bodycare,Quality,positive,smell,0.059035071,40391,50
Bodycare,Quality,positive,excellent,0.055265465,40391,50
Bodycare,Quality,positive,protection,0.05420721,40391,50
Bodycare,Quality,positive,scent,0.053755334,40391,50
Bodycare,Quality,positive,works,0.052938387,40391,50
Bodycare,Quality,positive,used,0.052080554,40391,50
Bodycare,Quality,positive,oily,0.049935425,40391,50
Bodycare,Quality,positive,greasy,0.046766687,40391,50
Bodycare,Quality,positive,smooth,0.042531281,40391,50
