term,score,new_main_category,tag,review_count,word_count
price,0.028474625797684974,Haircare,Packing,10073,50
inside,0.027161563628035925,Haircare,Packing,10073,50
top,0.026837798315742786,Haircare,Packing,10073,50
package,0.025556734252335907,Haircare,Packing,10073,50
packaging,0.024977585074599545,Haircare,Packing,10073,50
amazing,0.02490969988625134,Haircare,Packing,10073,50
recommend,0.024595512955151205,Haircare,Packing,10073,50
order,0.024012201065839088,Haircare,Packing,10073,50
scent,0.02299185351464609,Haircare,Packing,10073,50
bag,0.022477897440917355,Haircare,Packing,10073,50
better,0.021710011056095352,Haircare,Packing,10073,50
little,0.020761759096494126,Haircare,Packing,10073,50
quick,0.020535187397744487,Haircare,Packing,10073,50
protection,0.01997931622233797,Haircare,Packing,10073,50
definitely,0.01995756317508682,Haircare,Packing,10073,50
shipping,0.01992425893143381,Haircare,Packing,10073,50
tape,0.019542897702534527,Haircare,Packing,10073,50
long,0.019417864077889233,Haircare,Packing,10073,50
pump,0.018634444830789496,Haircare,Packing,10073,50
happy,0.018334677078572344,Haircare,Packing,10073,50
down,0.018302293620376196,Haircare,Packing,10073,50
work,0.018033105200430704,Haircare,Packing,10073,50
tried,0.01801885556519746,Haircare,Packing,10073,50
container,0.01673325625544108,Haircare,Packing,10073,50
return,0.01583271287347627,Haircare,Packing,10073,50
mess,0.015286887274375287,Haircare,Packing,10073,50
lot,0.015250318139879222,Haircare,Packing,10073,50
need,0.015126156847151039,Haircare,Packing,10073,50
purchase,0.014923370755127894,Haircare,Packing,10073,50
items,0.014787347756929945,Haircare,Packing,10073,50
looks,0.01445644006207267,Haircare,Packing,10073,50
purchased,0.014315108160224877,Haircare,Packing,10073,50
leaked,0.013596266249939865,Haircare,Packing,10073,50
wrap,0.012655927988216211,Haircare,Packing,10073,50
bar,0.012002505096624585,Haircare,Packing,10073,50
soft,0.10738875269835758,Haircare,Quality,374639,50
dry,0.09108383992830538,Haircare,Quality,374639,50
smell,0.06389256455268229,Haircare,Quality,374639,50
used,0.06243760058182985,Haircare,Quality,374639,50
clean,0.05553541084356207,Haircare,Quality,374639,50
leaves,0.05417601569250375,Haircare,Quality,374639,50
works,0.04763734232362017,Haircare,Quality,374639,50
scent,0.04729848953293424,Haircare,Quality,374639,50
scalp,0.046568079024303696,Haircare,Quality,374639,50
shiny,0.036296544566967015,Haircare,Quality,374639,50
long,0.03598823419948317,Haircare,Quality,374639,50
recommend,0.03379502160995351,Haircare,Quality,374639,50
little,0.032853295098486765,Haircare,Quality,374639,50
price,0.032561389048387235,Haircare,Quality,374639,50
tried,0.03156254969480982,Haircare,Quality,374639,50
smooth,0.031043591003964276,Haircare,Quality,374639,50
amazing,0.029848803899233573,Haircare,Quality,374639,50
oily,0.029805429789631056,Haircare,Quality,374639,50
curly,0.028274491992933245,Haircare,Quality,374639,50
wash,0.02809051686382994,Haircare,Quality,374639,50
thick,0.027836394996973518,Haircare,Quality,374639,50
better,0.027046897952809953,Haircare,Quality,374639,50
natural,0.02683865220143697,Haircare,Quality,374639,50
healthy,0.02667179735281744,Haircare,Quality,374639,50
down,0.025991183058277724,Haircare,Quality,374639,50
definitely,0.02596247317736506,Haircare,Quality,374639,50
work,0.025432574335884917,Haircare,Quality,374639,50
lot,0.02482659563674133,Haircare,Quality,374639,50
shampoos,0.02402175809265481,Haircare,Quality,374639,50
super,0.023521907392523685,Haircare,Quality,374639,50
need,0.02321485955719824,Haircare,Quality,374639,50
silky,0.020581328704173833,Haircare,Quality,374639,50
drying,0.020113910504516296,Haircare,Quality,374639,50
look,0.020060884609862634,Haircare,Quality,374639,50
found,0.01966022129108128,Haircare,Quality,374639,50
oil,0.019648371787882774,Haircare,Quality,374639,50
greasy,0.01936545702528539,Haircare,Quality,374639,50
frizzy,0.01870722102431259,Haircare,Quality,374639,50
shower,0.018642435846302034,Haircare,Quality,374639,50
few,0.018608290517504695,Haircare,Quality,374639,50
curls,0.018495803299058245,Haircare,Quality,374639,50
keep,0.018299585821830555,Haircare,Quality,374639,50
her,0.01766955933857574,Haircare,Quality,374639,50
once,0.01749361146875394,Haircare,Quality,374639,50
looks,0.017424209112331106,Haircare,Quality,374639,50
less,0.01738933803975012,Haircare,Quality,374639,50
light,0.01730840830664642,Haircare,Quality,374639,50
free,0.01719616533185356,Haircare,Quality,374639,50
week,0.01682529638063905,Haircare,Quality,374639,50
bar,0.01577715151026237,Haircare,Quality,374639,50
colors,0.1551826824105934,Makeup,Packaging,199392,50
lipstick,0.059613729526106995,Makeup,Packaging,199392,50
beautiful,0.05216786887012181,Makeup,Packaging,199392,50
long,0.039747584777772106,Makeup,Packaging,199392,50
pretty,0.03950711901554334,Makeup,Packaging,199392,50
perfect,0.0366042245985144,Makeup,Packaging,199392,50
easy,0.03385752467587993,Makeup,Packaging,199392,50
lips,0.03303793809064937,Makeup,Packaging,199392,50
look,0.0316253732273107,Makeup,Packaging,199392,50
lip,0.031223071446344373,Makeup,Packaging,199392,50
stays,0.030719311293864168,Makeup,Packaging,199392,50
little,0.029937188645517886,Makeup,Packaging,199392,50
used,0.02912309746808213,Makeup,Packaging,199392,50
