category,tag,sentiment,topic_no,top_words
Skincare,Packing,negative,1,"Topic 1: box, like, product, smell, soap, sealed, one, plastic, smells, would"
Skincare,Packing,negative,2,"Topic 2: soap, box, pump, delivery, broken, product, lotion, damaged, arrived, time"
Skincare,Packing,negative,3,"Topic 3: product, seal, broken, box, disappointed, opened, used, damaged, arrived, came"
Skincare,Packing,negative,4,"Topic 4: protection, use, skin, sun, product, box, oil, hair, face, ingredients"
Skincare,Packing,negative,5,"Topic 5: box, product, received, half, one, came, disappointed, damaged, inside, empty"
Sun Protection,Packaging,positive,1,"Topic 1: sun, sunscreen, product, even, great, much, bottle, would, time, get"
Sun Protection,Packaging,positive,2,"Topic 2: skin, color, sunscreen, like, love, product, great, light, face, tinted"
Sun Protection,Packaging,positive,3,"Topic 3: bottle, sunscreen, product, skin, one, like, use, face, great, spf"
Sun Protection,Packaging,positive,4,"Topic 4: sunscreen, sun, bottle, like, product, use, face, great, love, skin"
Sun Protection,Packaging,positive,5,"Topic 5: product, date, bottle, expiration, cap, bottom, packaging, expired, years, get"
Sun Protection,Packaging,neutral,1,"Topic 1: skin, color, sunscreen, face, like, product, white, use, sun, bottle"
Sun Protection,Packaging,neutral,2,"Topic 2: bottle, product, one, used, received, use, sunscreen, bottles, cap, amazon"
Sun Protection,Packaging,neutral,3,"Topic 3: ingredients, oil, oxide, acid, zinc, extract, alcohol, product, chemical, dimethicone"
Sun Protection,Packaging,neutral,4,"Topic 4: sunscreen, bottle, product, like, face, well, skin, get, white, color"
Sun Protection,Packaging,neutral,5,"Topic 5: color, es, la, que, de, el, piel, se, lo, muy"
Sun Protection,Packaging,negative,1,"Topic 1: color, de, skin, base, like, thick, sunscreen, dark, white, bottle"
Sun Protection,Packaging,negative,2,"Topic 2: product, bottle, color, like, skin, sunscreen, use, face, get, would"
Sun Protection,Packaging,negative,3,"Topic 3: bottle, sunscreen, like, product, cap, one, spray, use, broken, return"
Sun Protection,Packaging,negative,4,"Topic 4: bottle, like, product, skin, color, disappointed, sunscreen, face, used, white"
Sun Protection,Packaging,negative,5,"Topic 5: use, skin, color, spf, bottle, fragrance, lotion, terrible, powder, like"
